sample	unit_1	unit_2	length	type	spec	group
mmu_br_F_1	SRR306757		75	se	Mouse	mmu_br
mmu_br_M_1_1	SRR306758		75	se	Mouse	mmu_br
mmu_br_M_1_2	SRR306759		75	se	Mouse	mmu_br
mmu_br_M_1_3	SRR306760		75	se	Mouse	mmu_br
mmu_br_M_1_4	SRR306761		75	se	Mouse	mmu_br
mmu_br_M_2	SRR306762		75	se	Mouse	mmu_br
mmu_cb_F_1	SRR306763		75	se	Mouse	mmu_cb
mmu_cb_M_1	SRR306764		75	se	Mouse	mmu_cb
mmu_cb_M_2	SRR306765		75	se	Mouse	mmu_cb
mmu_ht_F_1	SRR306766		75	se	Mouse	mmu_ht
mmu_ht_M_1	SRR306767		75	se	Mouse	mmu_ht
mmu_ht_M_2	SRR306768		75	se	Mouse	mmu_ht
mmu_kd_F_1	SRR306769		75	se	Mouse	mmu_kd
mmu_kd_M_1	SRR306770		75	se	Mouse	mmu_kd
mmu_kd_M_2	SRR306771		75	se	Mouse	mmu_kd
mmu_lv_F_1	SRR306772		75	se	Mouse	mmu_lv
mmu_lv_M_1	SRR306773		75	se	Mouse	mmu_lv
mmu_lv_M_2	SRR306774		75	se	Mouse	mmu_lv
mmu_ts_M_1	SRR306775		75	se	Mouse	mmu_ts
mmu_ts_M_2	SRR306776		75	se	Mouse	mmu_ts
