sample	unit_1	unit_2	length	type	spec	group
oan_br_F_1_1	SRR306724		75	se	Platypus	oan_br
oan_br_F_1_2	SRR306725		75	se	Platypus	oan_br
oan_br_M_1_1	SRR306726		75	se	Platypus	oan_br
oan_br_M_1_2	SRR306727		75	se	Platypus	oan_br
oan_cb_F_1	SRR306728		75	se	Platypus	oan_cb
oan_cb_M_1	SRR306729		75	se	Platypus	oan_cb
oan_ht_F_1	SRR306730		75	se	Platypus	oan_ht
oan_ht_M_1	SRR306731		75	se	Platypus	oan_ht
oan_kd_F_1	SRR306732		75	se	Platypus	oan_kd
oan_lv_F_1_1	SRR306735		75	se	Platypus	oan_lv
oan_lv_F_1_2	SRR306736		75	se	Platypus	oan_lv
oan_lv_M_1_1	SRR306737		75	se	Platypus	oan_lv
oan_lv_M_1_2	SRR306738		75	se	Platypus	oan_lv
oan_ts_M_2	SRR306740		75	se	Platypus	oan_ts
oan_ts_M_3	SRR306741		75	se	Platypus	oan_ts
