ensembl_gene_id,ppaniscus_homolog_ensembl_gene,ptroglodytes_homolog_ensembl_gene,ggallus_homolog_ensembl_gene,mmusculus_homolog_ensembl_gene,ggorilla_homolog_ensembl_gene,mdomestica_homolog_ensembl_gene,pabelii_homolog_ensembl_gene,oanatinus_homolog_ensembl_gene,mmulatta_homolog_ensembl_gene
ENSG00000008130,ENSPPAG00000032335,ENSPTRG00000000038,ENSGALG00000032413,ENSMUSG00000029063,ENSGGOG00000000307,ENSMODG00000006845,ENSPPYG00000001994,ENSOANG00000006377,ENSMMUG00000010879
ENSG00000011021,ENSPPAG00000036215,ENSPTRG00000000154,ENSGALG00000004590,ENSMUSG00000029016,ENSGGOG00000012934,ENSMODG00000010962,ENSPPYG00000001879,ENSOANG00000002741,ENSMMUG00000007829
ENSG00000048707,ENSPPAG00000033746,ENSPTRG00000000165,ENSGALG00000034777,ENSMUSG00000020220,ENSGGOG00000001894,ENSMODG00000012443,ENSPPYG00000001869,ENSOANG00000006103,ENSMMUG00000021449
ENSG00000054523,ENSPPAG00000042406,ENSPTRG00000000127,ENSGALG00000002726,ENSMUSG00000063077,ENSGGOG00000026057,ENSMODG00000002802,ENSPPYG00000001902,ENSOANG00000002802,ENSMMUG00000002171
ENSG00000069424,ENSPPAG00000027250,ENSPTRG00000052739,ENSGALG00000037241,ENSMUSG00000028931,ENSGGOG00000000707,ENSMODG00000006380,ENSPPYG00000001953,ENSOANG00000008263,ENSMMUG00000016837
ENSG00000078369,ENSPPAG00000037980,ENSPTRG00000048657,ENSGALG00000001334,ENSMUSG00000029064,ENSGGOG00000006810,ENSMODG00000006881,ENSPPYG00000001993,ENSOANG00000006378,ENSMMUG00000001896
ENSG00000078808,ENSPPAG00000036063,ENSPTRG00000050180,ENSGALG00000001872,ENSMUSG00000029076,ENSGGOG00000006530,ENSMODG00000016449,ENSPPYG00000002019,ENSOANG00000004787,ENSMMUG00000019518
ENSG00000078900,ENSPPAG00000036965,ENSPTRG00000000062,ENSGALG00000001006,ENSMUSG00000029026,ENSGGOG00000015559,ENSMODG00000006623,ENSPPYG00000001963,ENSOANG00000012528,ENSMMUG00000016569
ENSG00000083444,ENSPPAG00000034724,ENSPTRG00000000158,ENSGALG00000004531,ENSMUSG00000019055,ENSGGOG00000013645,ENSMODG00000010880,ENSPPYG00000001874,ENSOANG00000004585,ENSMMUG00000032249
ENSG00000097021,ENSPPAG00000034202,ENSPTRG00000047265,ENSGALG00000000652,ENSMUSG00000028937,ENSGGOG00000005583,ENSMODG00000023679,ENSPPYG00000001945,ENSOANG00000022481,ENSMMUG00000015201
ENSG00000107404,ENSPPAG00000023215,ENSPTRG00000000025,ENSGALG00000001600,ENSMUSG00000029071,ENSGGOG00000005389,ENSMODG00000006382,ENSPPYG00000002010,ENSOANG00000030798,ENSMMUG00000007109
ENSG00000116213,ENSPPAG00000037359,ENSPTRG00000000064,ENSGALG00000001017,ENSMUSG00000029029,ENSGGOG00000015553,ENSMODG00000006647,ENSPPYG00000001964,ENSOANG00000009742,ENSMMUG00000003786
ENSG00000116237,ENSPPAG00000030464,ENSPTRG00000000079,ENSGALG00000024053,ENSMUSG00000039662,ENSGGOG00000005058,ENSMODG00000006189,ENSPPYG00000001949,ENSOANG00000002730,ENSMMUG00000018350
ENSG00000116273,ENSPPAG00000025788,ENSPTRG00000000092,ENSGALG00000028148,ENSMUSG00000047777,ENSGGOG00000006836,ENSMODG00000005947,ENSPPYG00000001936,ENSOANG00000012991,ENSMMUG00000047133
ENSG00000116661,ENSPPAG00000039179,ENSPTRG00000000146,ENSGALG00000004657,ENSMUSG00000041556,ENSGGOG00000002095,ENSMODG00000011053,ENSPPYG00000001888,ENSOANG00000011289,ENSMMUG00000002261
ENSG00000116670,ENSPPAG00000035539,ENSPTRG00000000149,ENSGALG00000004640,ENSMUSG00000029003,ENSGGOG00000009404,ENSMODG00000011006,ENSPPYG00000001885,ENSOANG00000014926,ENSMMUG00000023669
ENSG00000116688,ENSPPAG00000028131,ENSPTRG00000000159,ENSGALG00000004523,ENSMUSG00000029020,ENSGGOG00000005237,ENSMODG00000010801,ENSPPYG00000001873,ENSOANG00000001700,ENSMMUG00000023449
ENSG00000116691,ENSPPAG00000028466,ENSPTRG00000000160,ENSGALG00000044581,ENSMUSG00000029022,ENSGGOG00000000196,ENSMODG00000010745,ENSPPYG00000001872,ENSOANG00000019970,ENSMMUG00000032248
ENSG00000116731,ENSPPAG00000036677,ENSPTRG00000000185,ENSGALG00000038780,ENSMUSG00000057637,ENSGGOG00000005678,ENSMODG00000012362,ENSPPYG00000001855,ENSOANG00000009908,ENSMMUG00000017040
ENSG00000116771,ENSPPAG00000027720,ENSPTRG00000000202,ENSGALG00000031872,ENSMUSG00000040706,ENSGGOG00000015172,ENSMODG00000003528,ENSPPYG00000001842,ENSOANG00000011774,ENSMMUG00000002802
ENSG00000120942,ENSPPAG00000043807,ENSPTRG00000000144,ENSGALG00000003358,ENSMUSG00000047719,ENSGGOG00000001270,ENSMODG00000011080,ENSPPYG00000019217,ENSOANG00000008976,ENSMMUG00000032252
ENSG00000127054,ENSPPAG00000037865,ENSPTRG00000051102,ENSGALG00000001691,ENSMUSG00000029034,ENSGGOG00000005366,ENSMODG00000006290,ENSPPYG00000002013,ENSOANG00000013023,ENSMMUG00000013866
ENSG00000130939,ENSPPAG00000039017,ENSPTRG00000000126,ENSGALG00000002649,ENSMUSG00000028960,ENSGGOG00000003421,ENSMODG00000002838,ENSPPYG00000001903,ENSOANG00000030697,ENSMMUG00000016296
ENSG00000131584,ENSPPAG00000035731,ENSPTRG00000024081,ENSGALG00000033293,ENSMUSG00000029033,ENSGGOG00000005348,ENSMODG00000027721,ENSPPYG00000002015,ENSOANG00000009767,ENSMMUG00000013862
ENSG00000131591,ENSPPAG00000030767,ENSPTRG00000052382,ENSGALG00000027363,ENSMUSG00000059939,ENSGGOG00000014169,ENSMODG00000016437,ENSPPYG00000002024,ENSOANG00000021823,ENSMMUG00000018699
ENSG00000132906,ENSPPAG00000043312,ENSPTRG00000000200,ENSGALG00000001366,ENSMUSG00000028914,ENSGGOG00000001961,ENSMODG00000003612,ENSPPYG00000001844,ENSOANG00000009836,ENSMMUG00000018163
ENSG00000142599,ENSPPAG00000037717,ENSPTRG00000000106,ENSGALG00000002232,ENSMUSG00000039852,ENSGGOG00000015245,ENSMODG00000009563,ENSPPYG00000001921,ENSOANG00000004032,ENSMMUG00000021399
ENSG00000142606,ENSPPAG00000033061,ENSPTRG00000000055,ENSGALG00000001115,ENSMUSG00000058183,ENSGGOG00000010290,ENSMODG00000008304,ENSPPYG00000001973,ENSOANG00000032018,ENSMMUG00000012381
ENSG00000142611,ENSPPAG00000030373,ENSPTRG00000000059,ENSGALG00000036728,ENSMUSG00000039410,ENSGGOG00000003763,ENSMODG00000019057,ENSPPYG00000001968,ENSOANG00000014603,ENSMMUG00000009350
ENSG00000142621,ENSPPAG00000013425,ENSPTRG00000000194,ENSGALG00000034761,ENSMUSG00000051435,ENSGGOG00000000691,ENSMODG00000012328,ENSPPYG00000001849,ENSOANG00000021430,ENSMMUG00000003987
ENSG00000142655,ENSPPAG00000038193,ENSPTRG00000000132,ENSGALG00000002836,ENSMUSG00000028975,ENSGGOG00000012729,ENSMODG00000002643,ENSPPYG00000001898,ENSOANG00000005858,ENSMMUG00000019979
